"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","739","test_empty_body_422","tests.api","Wed Jul 08 01:36:26 UTC 2026","passed","Wed Jul 08 01:36:27 UTC 2026","TestRegister","test_user_api","",""
"","712","test_house_number_overlong","tests.api","Wed Jul 08 01:33:21 UTC 2026","passed","Wed Jul 08 01:33:22 UTC 2026","TestPostcodeLookup","test_postcode_api","",""
"","1437","test_tree_by_slug","tests.api","Wed Jul 08 01:27:00 UTC 2026","passed","Wed Jul 08 01:27:01 UTC 2026","TestGetCategoryTree","test_category_api","",""
"","1403","test_empty_cart","tests.api","Wed Jul 08 01:29:46 UTC 2026","passed","Wed Jul 08 01:29:48 UTC 2026","TestCreateInvoice","test_invoice_api","",""
"","0","test_status_on_hold","tests.api","Wed Jul 08 01:32:03 UTC 2026","skipped","Wed Jul 08 01:32:03 UTC 2026","TestStatusEnum","test_invoice_api","",""
"","725","test_update_unit_to_null_200","tests.api","Wed Jul 08 01:34:49 UTC 2026","passed","Wed Jul 08 01:34:50 UTC 2026","TestUpdateSpec","test_product_spec_api","",""
"","2141","test_patch_name","tests.api","Wed Jul 08 01:25:40 UTC 2026","passed","Wed Jul 08 01:25:42 UTC 2026","TestPatchBrand","test_brand_api","",""
"","1429","test_product_id_empty_422","tests.api","Wed Jul 08 01:26:20 UTC 2026","passed","Wed Jul 08 01:26:21 UTC 2026","TestAddItem","test_cart_api","",""
"","715","test_future_year_200","tests.api","Wed Jul 08 01:35:23 UTC 2026","passed","Wed Jul 08 01:35:23 UTC 2026","TestAverageSalesPerWeek","test_report_api","",""
"","744","test_years_non_numeric","tests.api","Wed Jul 08 01:35:14 UTC 2026","passed","Wed Jul 08 01:35:15 UTC 2026","TestTotalSalesOfYears","test_report_api","",""
"","711","test_token_expired_put","tests.api","Wed Jul 08 01:34:25 UTC 2026","passed","Wed Jul 08 01:34:26 UTC 2026","TestProductDefense","test_product_api","",""
"","779","test_delete_unauthenticated_401","tests.api","Wed Jul 08 01:27:32 UTC 2026","passed","Wed Jul 08 01:27:33 UTC 2026","TestCategoryAuthGaps","test_category_api","",""
"","1420","test_nonexistent_product_id","tests.api","Wed Jul 08 01:26:05 UTC 2026","passed","Wed Jul 08 01:26:07 UTC 2026","TestAddItem","test_cart_api","",""
"","986","test_register_success","tests.api","Wed Jul 08 01:36:12 UTC 2026","passed","Wed Jul 08 01:36:13 UTC 2026","TestRegister","test_user_api","",""
"","712","test_search_no_q","tests.api","Wed Jul 08 01:31:32 UTC 2026","passed","Wed Jul 08 01:31:32 UTC 2026","TestSearchInvoices","test_invoice_api","",""
"","706","test_subject_exact_120_chars_200","tests.api","Wed Jul 08 01:27:42 UTC 2026","passed","Wed Jul 08 01:27:43 UTC 2026","TestSendMessage","test_contact_api","",""
"实测：不存在的 product_id 格式返回 422 而非 404。","708","test_nonexistent_product","tests.api","Wed Jul 08 01:28:34 UTC 2026","passed","Wed Jul 08 01:28:35 UTC 2026","TestAddFavorite","test_favorite_api","",""
"Token 过期后更新留言状态。","707","test_token_expired_update_status","tests.api","Wed Jul 08 01:28:26 UTC 2026","passed","Wed Jul 08 01:28:27 UTC 2026","TestContactDefense","test_contact_api","",""
"","706","test_update_spec_value_200","tests.api","Wed Jul 08 01:34:47 UTC 2026","passed","Wed Jul 08 01:34:47 UTC 2026","TestUpdateSpec","test_product_spec_api","",""
